Company,Country,City,Latitude,Longitude
Pix4D,Switzerland,Lausanne,46.5197,6.6323
Flyability,Switzerland,Lausanne,46.5197,6.6323
Skydio,United States,Redwood City,37.4852,-122.2364
Deepnight,United States,San Francisco,37.7749,-122.4194
SLAMcore,United Kingdom,London,51.5072,-0.1276
Tractable,United Kingdom,London,51.5072,-0.1276
Wayve,United Kingdom,London,51.5072,-0.1276
Anyline,Austria,Vienna,48.2082,16.3738
Emesent,Australia,Brisbane,-27.4698,153.0251
Netradyne,United States,San Diego,32.7157,-117.1611
